Area,Item,Tonnes,Item,Tonnes
Portugal,Avocados,,Avocados,88011
Puerto Rico,Avocados,977,Avocados,18033
R??union,Avocados,743,Avocados,938
Rwanda,Avocados,9296,Avocados,4921
Saint Lucia,Avocados,180,Avocados,620
Samoa,Avocados,1324,Avocados,322
Seychelles,Avocados,12,Avocados,1950
South Africa,Avocados,86468,Avocados,172630
Spain,Avocados,88011,Avocados,90196
Sri Lanka,Avocados,18033,Avocados,1461
Swaziland,Avocados,938,Avocados Sum,5689985
Timor-Leste,Avocados,4921,Bambara beans,53141
Trinidad and Tobago,Avocados,620,Bambara beans,42041
Tunisia,Avocados,322,Bambara beans,10819
Turkey,Avocados,1950,Bambara beans,25963
United States of America,Avocados,172630,Bambara beans,32625
Venezuela (Bolivarian Republic of),Avocados,90196,Bambara beans Sum,164589
Zimbabwe,Avocados,1461,Bananas,493
,Avocados Sum,91134,Bananas,846
Burkina Faso,Bambara beans,53141,Bananas,3858066
Cameroon,Bambara beans,42041,Bananas,267
Democratic Republic of the Congo,Bambara beans,10819,Bananas,175692
Mali,Bambara beans,25963,Bananas,354241
Niger,Bambara beans,32625,Bananas,11659
,Bambara beans Sum,0,Bananas,1006
Algeria,Bananas,493,Bananas,798012
American Samoa,Bananas,846,Bananas,981
Angola,Bananas,3858066,Bananas,70619
Antigua and Barbuda,Bananas,267,Bananas,16467
Argentina,Bananas,175692,Bananas,326
Australia,Bananas,354241,Bananas,2845
Bahamas,Bananas,11659,Bananas,299580
Bahrain,Bananas,1006,Bananas,6764324
Bangladesh,Bananas,798012,Bananas,442
Barbados,Bananas,981,Bananas,841
Belize,Bananas,70619,Bananas,911193
Benin,Bananas,16467,Bananas,10443
Bermuda,Bananas,326,Bananas,140610
Bhutan,Bananas,2845,Bananas,1187547
Bolivia (Plurinational State of),Bananas,299580,Bananas,215
Brazil,Bananas,6764324,Bananas,112809
British Virgin Islands,Bananas,442,Bananas,13324337
Brunei Darussalam,Bananas,841,Bananas,13066778
Burundi,Bananas,911193,Bananas,257559
Cabo Verde,Bananas,10443,Bananas,2043668
Cambodia,Bananas,140610,Bananas,44633
Cameroon,Bananas,1187547,Bananas,81056
Cayman Islands,Bananas,215,Bananas,27
Central African Republic,Bananas,112809,Bananas,2409543
